"DOI";"Paper_ID";"Title";"Climate_AD";"From_ecosys";"To_ecosys";"Coupling";"Mattyp1";"Mattyp2";"Flow"
"1";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";124
"2";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";63.1408
"3";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";1.495936
"4";"10.1139/f03-019";2;"Influence of streamside vegetation on inputs of terrestrial invertebrates to salmonid food webs";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.226637
"5";"10.1139/f03-020";2;"Influence of streamside vegetation on inputs of terrestrial invertebrates to salmonid food webs";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.356957
"6";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";20.3856
"7";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";15.5248
"8";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";6.1504
"9";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";6.1504
"10";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";4.6128
"11";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";7.9856
"12";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";6.4976
"13";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";8.3824
"14";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";7.688
"15";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";10.2176
"16";"10.1890/04-138";5;"Fish invasion restructures stream and forest food webs by interrupting reciprocal prey subsidies";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.397476
