"DOI";"Paper_ID";"Title";"Climate_AD";"From_ecosys";"To_ecosys";"Coupling";"Mattyp1";"Mattyp2";"Flow";"Unit";"Process";"Driver_type"
"1";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";250;"gDW.m-2.y-1";"Life-cycle";"Active"
"2";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";127.3;"gDW.m-2.y-1";"Life-cycle";"Active"
"3";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";3.016;"gDW.m-2.y-1";"Life-cycle";"Active"
"4";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";115.75;"gC.m-2.y-1";"Life-cycle";"Active"
"5";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";58.9399;"gC.m-2.y-1";"Life-cycle";"Active"
"6";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";1.396408;"gC.m-2.y-1";"Life-cycle";"Active"
"7";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";22.975;"gN.m-2.y-1";"Life-cycle";"Active"
"8";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";11.69887;"gN.m-2.y-1";"Life-cycle";"Active"
"9";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.27717;"gN.m-2.y-1";"Life-cycle";"Active"
"10";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";3.25;"gP.m-2.y-1";"Life-cycle";"Active"
