"DOI";"Paper_ID";"Title";"Climate_AD";"From_ecosys";"To_ecosys";"Coupling";"Mattyp1";"Mattyp2";"Flow"
"1";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";22.975
"2";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";11.69887
"3";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.27717
"4";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";2.86
"5";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";3.76
"6";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.15
"7";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.15
"8";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.81
"9";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.53
"10";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.31
"11";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.69
"12";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.55
"13";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";2.06
"14";"10.1080/00288330.1995.9516680";9;"Annual contribution of terrestrial invertebrates to a New Zealand trout stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.052384
"15";"10.1080/00288330.1995.9516681";9;"Annual contribution of terrestrial invertebrates to a New Zealand trout stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.021697
"16";"10.1007/s11284-006-0060-6";10;"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest–stream boundary";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.060468
"17";"10.1007/s11284-006-0060-6";10;"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest–stream boundary";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.014471
"18";"10.1034/j.1600-0587.2003.03355.x";11;"Stream meanders increase insectivorous bird abundance in riparian deciduous forests";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.010575
"19";"10.1111/j.1440-1703.2004.00678.x";19;"Prey use by web-building spiders: stable isotope analyses of trophic flow at a forest-stream ecotone";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.110227
"20";"10.1890/0012-9658(2003)084[0701:TIIDTL]2.0.CO/2";22;"Terrestrial invertebrate inputs determine the local abundance of stream fishes in a forested stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.535758
"21";"10.1890/14-0704.1";23;"Quantifying aquatic insect deposition from lake to land";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";6
"22";"10.1890/14-0704.1";23;"Quantifying aquatic insect deposition from lake to land";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";2.2975
"23";"10.1890/14-0704.1";23;"Quantifying aquatic insect deposition from lake to land";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";1.3785
"24";"10.1890/14-0704.1";23;"Quantifying aquatic insect deposition from lake to land";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.1838
"25";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.09135
"26";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.8249
"27";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.71175
"28";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.2921
"29";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.42705
"30";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.17885
"31";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.438
"32";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.47825
"33";"10.1899/12-074.1";26;"Riparian litter inputs to streams in the central Oregon Coast Range";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";4.728
"34";"10.1899/12-074.1";26;"Riparian litter inputs to streams in the central Oregon Coast Range";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";9.576
"35";"";30;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";1.4668
"36";"10.1046/j.1365-2427.2001.00667.x";31;"Contribution of terrestrial invertebrates to the annual resource budget for salmonids in forest and grassland reaches of a headwater stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.87
"37";"10.1046/j.1365-2427.2001.00667.x";31;"Contribution of terrestrial invertebrates to the annual resource budget for salmonids in forest and grassland reaches of a headwater stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.51
"38";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";33;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.005247
"39";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";33;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.012313
"40";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";33;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.075514
"41";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";33;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.504394
"42";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";33;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.002817
"43";"10.1111/j.1365-2427.2008.02073.x";34;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Small amphib.";"Vertebrates";0.009126
"44";"10.1111/j.1365-2427.2008.02073.x";34;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Small amphib.";"Vertebrates";0.021806
"45";"10.1111/j.1365-2427.2008.02073.x";34;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Small amphib.";"Vertebrates";0.027734
"46";"10.1111/j.1523-1739.2006.00443.x";35;"Remarkable Amphibian Biomass and Abundance in an Isolated Wetland: Implications for Wetland Conservation";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Small amphib.";"Vertebrates";14.676725
"47";"10.1007/s00442-013-2592-0";36;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Small amphib.";"Vertebrates";0.002184
"48";"10.1007/s00442-013-2592-0";36;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Small amphib.";"Vertebrates";0.000753
"49";"10.1007/s00442-013-2592-0";36;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Small amphib.";"Vertebrates";0.011575
"50";"10.1007/s00442-013-2592-0";36;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Small amphib.";"Vertebrates";0.003712
"51";"10.1007/s00442-013-2592-0";36;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";0.255112
"52";"10.1007/s00442-013-2592-0";36;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";0.123096
"53";"10.1007/s00442-013-2592-0";36;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";0.045492
"54";"10.1007/s00442-013-2592-0";36;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";0.103472
"55";"10.1007/s00442-013-2592-0";36;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";0.074036
"56";"10.1007/s00442-013-2592-0";36;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";0.006244
"57";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";37;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";0.26
"58";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";37;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";0.79
"59";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";37;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";0.67
"60";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";37;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";1.6
"61";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";37;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Small amphib.";"Vertebrates";1.47
"62";"10.2307/1468050";38;"Emergence of Aquatic Insects from 2 Habitats in a Small Wetland of the Southeastern USA: Temporal Patterns of Numbers and Biomass";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.348644
"63";"10.2307/1468050";38;"Emergence of Aquatic Insects from 2 Habitats in a Small Wetland of the Southeastern USA: Temporal Patterns of Numbers and Biomass";"Temperate";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.348644
"64";"10.2307/3672158";39;"Emergence production and export of aquatic insects from a tallgrass prairie stream";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.027421
"65";"10.2307/3672158";39;"Emergence production and export of aquatic insects from a tallgrass prairie stream";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.027458
"66";"10.2307/3672158";39;"Emergence production and export of aquatic insects from a tallgrass prairie stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.04706
"67";"10.2307/1468385";40;"Life history and production of a semi-terrestrial limnephilid caddisfly in an intermittent Platte River wetland";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.04041
"68";"10.1080/03680770.1983.11897578";89;"The influence of beaver (Castor canadensis) on the production dynamics of aquatic insects";"Boreal";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.007405
"69";"10.1080/03680770.1983.11897578";89;"The influence of beaver (Castor canadensis) on the production dynamics of aquatic insects";"Boreal";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.101985
"70";"10.1080/03680770.1983.11897578";89;"The influence of beaver (Castor canadensis) on the production dynamics of aquatic insects";"Boreal";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.445296
