"DOI";"Paper_ID";"Title";"Mattyp1";"Exporter_ecosyst";"Ratio";"Type_ecosyst"
"1";"10.1111/fwb.12474";64;"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa";"Mammal faeces";"Grassland";0.0282764811450782;"Terrestrial"
"4";"10.1111/fwb.12474";64;"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa";"Mammal faeces";"Grassland";0.145506419392553;"Terrestrial"
"7";"10.1073/pnas.1614778114";88;"Annual mass drownings of the Serengeti wildebeest migration influence nutrient cycling and storage in the Mara River";"Carcass";"Grassland";0.117647058823529;"Terrestrial"
"11";"10.1111/fwb.13130";91;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Small amphib.";"Forest";0.200803212851406;"Terrestrial"
"14";"10.1111/fwb.13130";91;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Small amphib.";"Grassland";0.253807106598985;"Terrestrial"
"17";"10.1111/fwb.13130";91;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Small amphib.";"Forest";0.191938579654511;"Terrestrial"
"20";"10.1111/fwb.13130";91;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Small amphib.";"Grassland";0.263157894736842;"Terrestrial"
"23";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";37;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Small amphib.";"Forest";0.189560990016391;"Terrestrial"
"24";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";37;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Small amphib.";"Forest";0.264597444094529;"Terrestrial"
"25";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";37;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Small amphib.";"Lake";0.263121546987856;"Aquatic"
"26";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";37;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Small amphib.";"Forest";0.25;"Terrestrial"
"27";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";37;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Small amphib.";"Forest";0.263157894736842;"Terrestrial"
"28";"10.1899/08-038.1";71;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Terr. inverteb.";"Forest";0.177578947381618;"Terrestrial"
"31";"10.1899/08-038.1";71;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Terr. inverteb.";"Forest";0.221695629283704;"Terrestrial"
"34";"10.1899/08-038.1";71;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Terr. plants";"Forest";0.0186993603405653;"Terrestrial"
"37";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Terr. inverteb.";"Forest";0.201612903225806;"Terrestrial"
